ID,Mode,Segment,Code,Size,ReqInfo,Description,DateAdded,MinVal,MaxVal,Units,Enabled,Mult,Add
1000,Mode 01,00-20,00,4.0,,PIDs supported 00-20,2017-06-01 15:59,,,,0,1.0,0.0
1001,Mode 01,00-20,01,4.0,,Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL) status and number of DTCs.),2017-06-01 15:59,,,,0,1.0,0.0
1002,Mode 01,00-20,02,2.0,,Freeze DTC,2017-06-01 15:59,,,,0,1.0,0.0
1003,Mode 01,00-20,03,2.0,,Fuel system status,2017-06-01 15:59,,,,0,1.0,0.0
1004,Mode 01,00-20,04,1.0,,Calculated engine load,2017-06-01 15:59,0.00,100.00, %,1,0.392156863,0.0
1005,Mode 01,00-20,05,1.0,,Engine coolant temperature,2017-06-01 15:59,-40.00,215.00,deg.C,1,1.0,-40.0
1006,Mode 01,00-20,06,1.0,,Short term fuel trim/Bank 1 -100 (Reduce Fuel: Too Rich) 99.2 (Add Fuel: Too Lean),2017-06-01 15:59,-100.00,99.20, %,1,0.78125,-100.0
1007,Mode 01,00-20,07,1.0,,Long term fuel trim / Bank 1,2017-06-01 15:59,-100.00,99.20, %,1,0.78125,-99.0
1008,Mode 01,00-20,08,1.0,,Short term fuel trim / Bank 2,2017-06-01 15:59,-100.00,99.20, %,1,0.78125,-99.0
1009,Mode 01,00-20,09,1.0,,Long term fuel trim / Bank 2,2017-06-01 15:59,-100.00,99.20, %,1,0.78125,-99.0
1010,Mode 01,00-20,0A,1.0,,Fuel pressure (gauge pressure),2017-06-01 15:59,0.00,765.00,kPa,1,3.0,0.0
1011,Mode 01,00-20,0B,1.0,,Intake manifold absolute pressure,2017-06-01 15:59,0.00,255.00,kPa,1,1.0,0.0
1012,Mode 01,00-20,0C,2.0,,Engine RPM,2017-06-01 15:59,0.00,16383.75,rpm,1,0.25,0.0
1013,Mode 01,00-20,0D,1.0,,Vehicle speed,2017-06-01 15:59,0.00,255.00,km/h,1,1.0,0.0
1014,Mode 01,00-20,0E,1.0,,Timing advance,2017-06-01 15:59,-64.00,63.50,deg. before TDC,0,0.5,-64.0
1015,Mode 01,00-20,0F,1.0,,Intake air temperature,2017-06-01 15:59,-40.00,215.00,dec.C,1,1.0,-40.0
1016,Mode 01,00-20,10,2.0,,MAF air flow rate,2017-06-01 15:59,0.00,655.35,grams/sec,1,0.01,0.0
1017,Mode 01,00-20,11,1.0,,Throttle position,2017-06-01 15:59,0.00,100.00,%,1,0.392156863,0.0
1018,Mode 01,00-20,12,1.0,,Commanded secondary air status,2017-06-01 15:59,,,,0,,
1019,Mode 01,00-20,13,1.0,,Oxygen sensors present (in 2 banks),2017-06-01 15:59,,,,0,,
1020,Mode 01,00-20,14,2.0,,Oxygen Sensor 1 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1021,Mode 01,00-20,15,2.0,,Oxygen Sensor 2 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1022,Mode 01,00-20,16,2.0,,Oxygen Sensor 3 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1023,Mode 01,00-20,17,2.0,,Oxygen Sensor 4 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1024,Mode 01,00-20,18,2.0,,Oxygen Sensor 5 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1025,Mode 01,00-20,19,2.0,,Oxygen Sensor 6 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1026,Mode 01,00-20,1A,2.0,,Oxygen Sensor 7 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1027,Mode 01,00-20,1B,2.0,,Oxygen Sensor 8 / A: Voltage / B: Short term fuel trim,2017-06-01 15:59,-100.00,99.20,volt/% (1/200*A / 100/128*B-100),0,,
1028,Mode 01,00-20,1C,1.0,,OBD standards this vehicle conforms to,2017-06-01 15:59,,,,0,,
1029,Mode 01,00-20,1D,1.0,,Oxygen sensors present (in 4 banks),2017-06-01 15:59,,,,0,,
1030,Mode 01,00-20,1E,1.0,,Auxiliary input status,2017-06-01 15:59,,,,0,,
1031,Mode 01,00-20,1F,2.0,,Run time since engine start,2017-06-01 15:59,0.00,65535.00,seconds,1,1.0,0.0
1032,Mode 01,21-40,20,4.0,,PIDs supported range 21-40,2017-06-01 15:59,,,,0,,
1033,Mode 01,21-40,21,2.0,,Distance traveled with malfunction indicator lamp (MIL) on,2017-06-01 15:59,0.00,65535.00,km,1,1.0,0.0
1034,Mode 01,21-40,22,2.0,,Fuel Rail Pressure (relative to manifold vacuum),2017-06-01 15:59,0.00,5177.27,kPa,1,0.079,0.0
1035,Mode 01,21-40,23,2.0,,Fuel Rail Gauge Pressure (diesel- or gasoline direct injection),2017-06-01 15:59,0.00,655350.00,kPa,1,10.0,0.0
1036,Mode 01,21-40,24,4.0,,Oxygen Sensor 1 / AB: Fuel / Air Equivalence Ratio / CD: Voltage,2017-06-01 15:59,0.00,8.00,ratio / V,0,,
1037,Mode 01,21-40,25,4.0,,Oxygen Sensor 2 / AB: Fuel / Air Equivalence Ratio / CD: Voltage,2017-06-01 15:59,,,,0,,
1038,Mode 01,21-40,26,4.0,,Oxygen Sensor 3 / AB: Fuel / Air Equivalence Ratio / CD: Voltage,2017-06-01 15:59,,,,0,,
1039,Mode 01,21-40,27,4.0,,Oxygen Sensor 4 / AB: Fuel / Air Equivalence Ratio / CD: Voltage,2017-06-01 15:59,,,,0,,
1040,Mode 01,21-40,28,4.0,,Oxygen Sensor 5 / AB: Fuel / Air Equivalence Ratio / CD: Voltage,2017-06-01 15:59,,,,0,,
