,VIN,DeviceSN,Code,StrValue,TimeStamp
0,11111111111111111,1,0104,34,2018-01-29 21:47:58.866
1,11111111111111111,1,0105,77,2018-01-29 21:47:58.913
2,11111111111111111,1,010B,66,2018-01-29 21:47:58.960
3,11111111111111111,1,010C,0000,2018-01-29 21:47:59.038
4,11111111111111111,1,010D,00,2018-01-29 21:47:59.085
5,11111111111111111,1,010F,38,2018-01-29 21:47:59.132
6,11111111111111111,1,0110,01DB,2018-01-29 21:47:59.179
7,11111111111111111,1,0111,DA,2018-01-29 21:47:59.225
8,11111111111111111,1,0113,00,2018-01-29 21:47:59.288
9,11111111111111111,1,0123,00B4,2018-01-29 21:47:59.335
10,11111111111111111,1,0130,FF,2018-01-29 21:47:59.382
11,14490201544D42,1337,010C,,2018-01-29 21:49:21.052
12,14490201544D42,1337,010C,,2018-01-29 21:49:22.818
13,14490201544D42,1337,010C,,2018-01-29 21:49:22.881
14,14490201544D42,1337,010C,,2018-01-29 21:49:22.943
15,14490201544D42,1337,010C,,2018-01-29 21:49:23.896
16,14490201544D42,1337,010C,,2018-01-29 21:49:25.053
17,14490201544D42,1337,010C,,2018-01-29 21:49:26.110
18,14490201544D42,1337,010C,,2018-01-29 21:49:27.252
19,14490201544D42,1337,010C,,2018-01-29 21:49:28.328
20,14490201544D42,1337,010C,,2018-01-29 21:49:29.404
21,14490201544D42,1337,010C,,2018-01-29 21:49:30.577
22,14490201544D42,1337,010C,,2018-01-29 21:49:31.594
23,14490201544D42,1337,010C,,2018-01-29 21:49:32.824
24,14490201544D42,1337,010C,,2018-01-29 21:49:33.962
25,14490201544D42,1337,010C,,2018-01-29 21:49:34.986
26,14490201544D42,1337,010C,,2018-01-29 21:49:36.025
27,14490201544D42,1337,010C,,2018-01-29 21:49:37.172
28,14490201544D42,1337,010C,,2018-01-29 21:49:38.171
29,14490201544D42,1337,010C,,2018-01-29 21:49:39.300
30,14490201544D42,1337,010C,,2018-01-29 21:49:40.360
31,14490201544D42,1337,010C,,2018-01-29 21:49:41.646
32,14490201544D42,1337,010C,,2018-01-29 21:49:42.877
33,14490201544D42,1337,010C,,2018-01-29 21:49:43.800
34,14490201544D42,1337,010C,,2018-01-29 21:49:45.017
35,14490201544D42,1337,010C,,2018-01-29 21:49:46.022
36,14490201544D42,1337,010C,,2018-01-29 21:49:47.487
37,14490201544D42,1337,010C,,2018-01-29 21:49:48.080
38,14490201544D42,1337,010C,,2018-01-29 21:49:49.316
39,14490201544D42,1337,010C,,2018-01-29 21:49:50.384
40,14490201544D42,1337,010C,,2018-01-29 21:49:51.398
41,14490201544D42,1337,010C,,2018-01-29 21:49:52.805
42,14490201544D42,1337,010C,,2018-01-29 21:49:53.695
43,14490201544D42,1337,010C,,2018-01-29 21:49:54.852
44,14490201544D42,1337,010C,,2018-01-29 21:49:55.852
45,14490201544D42,1337,010C,,2018-01-29 21:49:57.008
46,14490201544D42,1337,010C,,2018-01-29 21:49:58.071
47,14490201544D42,1337,010C,,2018-01-29 21:49:59.165
48,14490201544D42,1337,010C,,2018-01-29 21:50:00.446
49,14490201544D42,1337,010C,,2018-01-29 21:50:01.290
50,14490201544D42,1337,010C,,2018-01-29 21:50:02.433
51,14490201544D42,1337,010C,,2018-01-29 21:50:03.667
52,14490201544D42,1337,010C,,2018-01-29 21:50:04.761
53,14490201544D42,1337,010C,,2018-01-29 21:50:05.855
54,14490201544D42,1337,010C,,2018-01-29 21:50:07.366
55,14490201544D42,1337,010C,,2018-01-29 21:50:08.076
