,VIN,DeviceSN,Code,StrVal,TimeStamp
0,11111111111111111,1,0104,34,2018-01-29 21:51:07.071
1,11111111111111111,1,0105,77,2018-01-29 21:51:07.134
2,11111111111111111,1,010B,66,2018-01-29 21:51:07.181
3,11111111111111111,1,010C,0000,2018-01-29 21:51:07.228
4,11111111111111111,1,010D,00,2018-01-29 21:51:07.290
5,11111111111111111,1,010F,38,2018-01-29 21:51:07.337
6,11111111111111111,1,0110,01DB,2018-01-29 21:51:07.384
7,11111111111111111,1,0111,DA,2018-01-29 21:51:07.431
8,11111111111111111,1,0113,00,2018-01-29 21:51:07.478
9,11111111111111111,1,0123,00B4,2018-01-29 21:51:07.525
10,11111111111111111,1,0130,FF,2018-01-29 21:51:07.571
11,14490201544D42,1337,010C,,2018-01-29 21:51:07.618
12,14490201544D42,1337,010C,,2018-01-29 21:51:09.103
13,14490201544D42,1337,010C,,2018-01-29 21:51:09.697
14,14490201544D42,1337,010C,,2018-01-29 21:51:10.947
15,14490201544D42,1337,010C,,2018-01-29 21:51:11.853
16,14490201544D42,1337,010C,,2018-01-29 21:51:12.931
17,14490201544D42,1337,010C,,2018-01-29 21:51:14.072
18,14490201544D42,1337,010C,,2018-01-29 21:51:15.228
19,14490201544D42,1337,010C,,2018-01-29 21:51:16.416
20,14490201544D42,1337,010C,,2018-01-29 21:51:17.354
21,14490201544D42,1337,010C,,2018-01-29 21:51:18.463
22,14490201544D42,1337,010C,,2018-01-29 21:51:19.541
23,14490201544D42,1337,010C,,2018-01-29 21:51:20.760
24,14490201544D42,1337,010C,,2018-01-29 21:51:21.760
25,14490201544D42,1337,010C,,2018-01-29 21:51:22.917
26,14490201544D42,1337,010C,,2018-01-29 21:51:23.990
27,14490201544D42,1337,010C,,2018-01-29 21:51:25.077
28,14490201544D42,1337,010C,,2018-01-29 21:51:26.202
29,14490201544D42,1337,010C,,2018-01-29 21:51:27.266
30,14490201544D42,1337,010C,,2018-01-29 21:51:28.377
31,14490201544D42,1337,010C,,2018-01-29 21:51:29.685
32,14490201544D42,1337,010C,,2018-01-29 21:51:30.596
33,14490201544D42,1337,010C,,2018-01-29 21:51:31.830
34,14490201544D42,1337,010C,,2018-01-29 21:51:33.063
35,14490201544D42,1337,010C,,2018-01-29 21:51:33.977
36,14490201544D42,1337,010C,,2018-01-29 21:51:35.012
37,14490201544D42,1337,010C,,2018-01-29 21:51:36.097
38,14490201544D42,1337,010C,,2018-01-29 21:51:37.286
39,14490201544D42,1337,010C,,2018-01-29 21:51:38.342
40,14490201544D42,1337,010C,,2018-01-29 21:51:39.411
41,14490201544D42,1337,010C,,2018-01-29 21:51:40.654
42,14490201544D42,1337,010C,,2018-01-29 21:51:41.964
43,14490201544D42,1337,010C,,2018-01-29 21:51:42.896
44,14490201544D42,1337,010C,,2018-01-29 21:51:43.839
45,14490201544D42,1337,010C,,2018-01-29 21:51:45.041
46,14490201544D42,1337,010C,,2018-01-29 21:51:46.366
47,14490201544D42,1337,010C,,2018-01-29 21:51:47.498
48,14490201544D42,1337,010C,,2018-01-29 21:51:48.262
49,14490201544D42,1337,010C,,2018-01-29 21:51:49.402
50,14490201544D42,1337,010C,,2018-01-29 21:51:50.425
51,14490201544D42,1337,010C,,2018-01-29 21:51:51.794
52,14490201544D42,1337,010C,,2018-01-29 21:51:52.715
53,14490201544D42,1337,010C,,2018-01-29 21:51:53.778
54,14490201544D42,1337,0103,0100,2018-01-29 21:51:54.247
55,14490201544D42,1337,0104,27,2018-01-29 21:51:54.309
56,14490201544D42,1337,0105,77,2018-01-29 21:51:54.356
57,14490201544D42,1337,0106,80,2018-01-29 21:51:54.403
58,14490201544D42,1337,0107,88,2018-01-29 21:51:54.466
59,14490201544D42,1337,010B,1F,2018-01-29 21:51:54.513
60,14490201544D42,1337,010C,0D18,2018-01-29 21:51:54.575
61,14490201544D42,1337,010D,00,2018-01-29 21:51:54.622
62,14490201544D42,1337,010E,7F,2018-01-29 21:51:54.684
63,14490201544D42,1337,010F,55,2018-01-29 21:51:54.731
64,14490201544D42,1337,0111,21,2018-01-29 21:51:54.778
65,14490201544D42,1337,0113,03,2018-01-29 21:51:54.841
66,14490201544D42,1337,0114,5288,2018-01-29 21:51:54.997
67,14490201544D42,1337,0115,54FF,2018-01-29 21:51:55.059
68,14490201544D42,1337,012D,,2018-01-29 21:51:55.106
69,14490201544D42,1337,012F,,2018-01-29 21:51:55.169
70,14490201544D42,1337,0130,FF,2018-01-29 21:51:55.231
71,14490201544D42,1337,0132,,2018-01-29 21:51:55.278
72,14490201544D42,1337,013B,,2018-01-29 21:51:55.325
73,14490201544D42,1337,0141,00076165,2018-01-29 21:51:55.388
74,14490201544D42,1337,0142,35F4,2018-01-29 21:51:55.435
75,14490201544D42,1337,0143,0030,2018-01-29 21:51:55.497
76,14490201544D42,1337,0144,8000,2018-01-29 21:51:55.544
77,14490201544D42,1337,0145,06,2018-01-29 21:51:55.606
78,14490201544D42,1337,0146,2C,2018-01-29 21:51:55.653
79,14490201544D42,1337,0148,,2018-01-29 21:51:55.716
80,14490201544D42,1337,0149,24,2018-01-29 21:51:55.763
81,14490201544D42,1337,014B,,2018-01-29 21:51:55.810
82,14490201544D42,1337,0155,,2018-01-29 21:51:55.872
83,14490201544D42,1337,010C,,2018-01-29 21:51:55.919
84,14490201544D42,1337,010C,,2018-01-29 21:51:56.294
85,14490201544D42,1337,010C,,2018-01-29 21:51:57.341
86,14490201544D42,1337,0103,0100,2018-01-29 21:51:57.575
87,14490201544D42,1337,0104,28,2018-01-29 21:51:57.669
88,14490201544D42,1337,0105,76,2018-01-29 21:51:57.716
89,14490201544D42,1337,0106,80,2018-01-29 21:51:57.779
90,14490201544D42,1337,0107,89,2018-01-29 21:51:57.841
91,14490201544D42,1337,010B,1F,2018-01-29 21:51:57.888
92,14490201544D42,1337,010C,0D10,2018-01-29 21:51:57.950
93,14490201544D42,1337,010D,00,2018-01-29 21:51:58.013
94,14490201544D42,1337,010E,83,2018-01-29 21:51:58.060
95,14490201544D42,1337,010F,55,2018-01-29 21:51:58.122
96,14490201544D42,1337,0111,21,2018-01-29 21:51:58.185
97,14490201544D42,1337,0113,03,2018-01-29 21:51:58.232
98,14490201544D42,1337,0114,5289,2018-01-29 21:51:58.294
99,14490201544D42,1337,0115,54FF,2018-01-29 21:51:58.341
