,VIN,DEV,PID,VAL,TMSTP
0,11111111111111111,1,0104,34,2018-01-29 22:05:48.006
1,11111111111111111,1,0105,77,2018-01-29 22:05:48.053
2,11111111111111111,1,010B,66,2018-01-29 22:05:48.100
3,11111111111111111,1,010C,0000,2018-01-29 22:05:48.147
4,11111111111111111,1,010D,00,2018-01-29 22:05:48.193
5,11111111111111111,1,010F,38,2018-01-29 22:05:48.256
6,11111111111111111,1,0110,01DB,2018-01-29 22:05:48.303
7,11111111111111111,1,0111,DA,2018-01-29 22:05:48.350
8,11111111111111111,1,0113,00,2018-01-29 22:05:48.397
9,11111111111111111,1,0123,00B4,2018-01-29 22:05:48.443
10,11111111111111111,1,0130,FF,2018-01-29 22:05:48.506
11,14490201544D42,1337,010C,0D40,2018-01-29 22:05:48.553
12,14490201544D42,1337,010C,0D40,2018-01-29 22:05:48.600
13,14490201544D42,1337,010C,0D38,2018-01-29 22:05:48.647
14,14490201544D42,1337,010C,0D30,2018-01-29 22:05:48.693
15,14490201544D42,1337,010C,0D30,2018-01-29 22:05:48.725
16,14490201544D42,1337,010C,0D20,2018-01-29 22:05:48.772
17,14490201544D42,1337,010C,0D30,2018-01-29 22:05:48.818
18,14490201544D42,1337,010C,0D30,2018-01-29 22:05:48.865
19,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:48.912
20,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:48.959
21,14490201544D42,1337,010C,0D24,2018-01-29 22:05:49.006
22,14490201544D42,1337,010C,0D14,2018-01-29 22:05:49.068
23,14490201544D42,1337,010C,0D04,2018-01-29 22:05:49.115
24,14490201544D42,1337,010C,0D04,2018-01-29 22:05:49.162
25,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:49.209
26,14490201544D42,1337,010C,0D08,2018-01-29 22:05:49.256
27,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:49.319
28,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:49.365
29,14490201544D42,1337,010C,0D24,2018-01-29 22:05:49.600
30,14490201544D42,1337,010C,0D20,2018-01-29 22:05:49.647
31,14490201544D42,1337,010C,0D20,2018-01-29 22:05:49.694
32,14490201544D42,1337,010C,0D1C,2018-01-29 22:05:49.725
33,14490201544D42,1337,010C,0D24,2018-01-29 22:05:49.819
34,14490201544D42,1337,010C,0D08,2018-01-29 22:05:49.881
35,14490201544D42,1337,010C,0D08,2018-01-29 22:05:49.928
36,14490201544D42,1337,010C,0CF8,2018-01-29 22:05:49.975
